,ticker,keys
0,UBER,86
1,MSFT,62
2,MU,63
3,FCX,36
4,FMC,38
5,DXPE,34
6,NFLX,64
7,BX,19
8,GE,39
9,COST,27
10,GS,43
11,NKE,65
12,ASML,7
13,TSLA,84
14,PM,75
15,ADBE,2
16,EFX,35
17,VALE,88
18,SPGI,79
19,NOC,67
20,MMM,59
21,URBN,87
22,INTC,49
23,TM,83
24,CAJ,21
25,AZO,10
26,CMG,25
27,BAC,12
28,SLB,77
29,DIS,32
30,NLOK,66
31,XOM,93
32,KO,54
33,DAL,30
34,AAPL,1
35,BA,11
36,PBR,71
37,SBUX,76
38,PG,73
39,PGR,74
40,TGT,82
41,AA,0
42,BKR,17
43,AVGO,8
44,DUK,33
45,BLK,18
46,HMC,45
47,STZ,80
48,CME,24
49,GOOGL,42
50,ANF,6
51,BIIB,16
52,KBH,53
53,LMT,56
54,HUM,46
55,JWN,52
56,ICE,48
57,BHC,14
58,AMGN,4
59,AMZN,5
60,NWSA,69
61,BIDU,15
62,AXP,9
63,HD,44
64,FDX,37
65,CAT,22
66,BBY,13
67,LLY,55
68,IBM,47
69,SO,78
70,WMT,92
71,ADP,3
72,COP,26
73,MA,57
74,CVX,29
75,DD,31
76,UAL,85
77,MCD,58
78,JNJ,50
79,ORCL,70
80,NVDA,68
81,GILD,40
82,GM,41
83,MRK,60
84,MS,61
85,JPM,51
86,C,20
87,WMB,91
88,VZ,89
89,CSCO,28
90,WFC,90
91,CMCSA,23
92,PFE,72
93,T,81
